Aeron
Afan
Aidan
Alan
Amlodd
Aneirin
Arawn
Arfon
Arnall
Aron
Arwyn
Awstin
Baglan
Barri
Bedo
Bedwyr
Berwyn
Beynon
Bobi
Bran
Brychan
Brynmor
Brân
Cadell
Cadfael
Cadoc
Cadwaladr
Cadwy
Caerwyn
Caio
Caradog
Caron
Cayo
Cedwyn
Cefin
Celyn
Cennydd
Cenwyn
Ceredig
Cledwyn
Crwys
Cybi
Cynog
Deiniol
Delwyn
Derec
Derfel
Deri
Derwyn
Deryn
Dewi
Drystan
Dyfan
Dyfed
Dyfri
Dylan
Edryd
Edwyn
Eifion
Eirwyn
Elfyn
Elgan
Elgar
Elis
Elwyn
Emlyn
Emrys
Eurig
Eurion
Evan
Garth
Gawain
Gerallt
Gerwyn
Glanmor
Glyndwr
Glyndŵr
Goronwy
Griff
Griffin
Gruffudd
Gruffydd
Guto
Gwaun
Gwenallt
Gwern
Gwilym
Gwion
Gwri
Gwydion
Gwyn
Gwyndaf
Gwynfor
Hedd
Hefin
Heini
Home
Hopcyn
Huw
Huwcyn
Hywel
Ianto
Idris
Idwal
Ifor
Iolo
Iorwerth
Jac
Lewis
Llew
Lloyd
Llŷr
Mabon
Madog
Maelon
Maelor
Mal
Maldwyn
Marc
Martyn
Medwyn
Meic
Meilir
Meilyr
Meirion
Meredith
Merfyn
Merion
Mervyn
Meurig
Mihangel
Morgan
Morlais
Morys
Myrddin
Niclas
Ninian
Osian
Pedr
Pryderi
Rhion
Rhys
Sion
Siôn
Tomos
Trystan
Twm
Vaughan
Wyn
